"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2002","2,685.79","3,128.91","3,193.50","2,293.12","","-14.28%"
"06/01/2002","3,133.39","3,423.72","3,440.17","2,827.79","","-8.54%"
"05/01/2002","3,425.79","3,576.03","3,610.03","3,381.24","","-4.15%"
"04/01/2002","3,574.23","3,779.26","3,788.94","3,505.44","","-5.54%"
"03/01/2002","3,784.05","3,619.40","3,811.04","3,601.27","","4.40%"
"02/01/2002","3,624.74","3,675.91","3,714.39","3,401.68","","-1.24%"
"01/01/2002","3,670.26","3,804.44","3,864.08","3,557.57","","-3.57%"
"12/01/2001","3,806.13","3,652.46","3,865.40","3,567.50","","4.04%"
"11/01/2001","3,658.27","3,473.13","3,820.00","3,417.33","","5.16%"
"10/01/2001","3,478.63","3,295.14","3,666.32","3,147.43","","5.52%"
"09/01/2001","3,296.66","3,747.51","3,758.61","2,741.00","","-11.97%"
"08/01/2001","3,745.02","4,089.25","4,150.89","3,701.77","","-8.47%"
"07/01/2001","4,091.38","4,236.30","4,307.94","3,854.63","","-3.59%"
"06/01/2001","4,243.91","4,427.93","4,511.14","4,049.58","","-4.12%"
"05/01/2001","4,426.24","4,530.14","4,617.44","4,349.11","","-2.18%"
"04/01/2001","4,525.01","4,194.77","4,527.61","3,909.88","","8.12%"
"03/01/2001","4,185.00","4,306.35","4,436.72","3,870.34","","-3.10%"
"02/01/2001","4,318.88","4,771.81","4,771.81","4,221.39","","-9.64%"
"01/01/2001","4,779.90","4,769.26","4,812.49","4,571.65","","0.16%"
"12/01/2000","4,772.39","4,801.55","4,995.40","4,537.83","","-0.37%"
"11/01/2000","4,790.08","5,069.03","5,125.28","4,761.33","","-5.29%"
"10/01/2000","5,057.46","4,914.82","5,063.74","4,558.37","","2.89%"
"09/01/2000","4,915.18","5,188.83","5,398.31","4,812.90","","-5.02%"
"08/01/2000","5,175.12","5,124.89","5,250.09","4,984.52","","0.88%"
"07/01/2000","5,130.06","5,151.24","5,367.82","5,043.28","","-0.30%"
"06/01/2000","5,145.35","5,202.21","5,448.48","5,055.85","","-1.07%"
"05/01/2000","5,200.89","5,308.33","5,435.07","4,881.99","","-1.94%"
"04/01/2000","5,303.95","5,250.36","5,332.58","4,798.94","","1.04%"
"03/01/2000","5,249.55","5,190.59","5,522.42","5,084.73","","1.29%"
"02/01/2000","5,182.62","4,689.13","5,256.96","4,689.13","","10.63%"
"01/01/2000","4,684.48","4,906.60","5,030.41","4,471.89","","-4.49%"
"12/01/1999","4,904.46","4,312.26","4,914.99","4,283.24","","13.68%"
"11/01/1999","4,314.38","3,922.57","4,415.90","3,876.31","","9.98%"
"10/01/1999","3,922.91","3,671.99","3,946.49","3,572.17","","6.90%"
"09/01/1999","3,669.71","3,769.54","3,916.61","3,624.39","","-2.64%"
"08/01/1999","3,769.14","3,638.50","3,885.06","3,494.01","","3.59%"
"07/01/1999","3,638.62","3,789.12","3,986.16","3,575.18","","-3.96%"
"06/01/1999","3,788.66","3,630.05","3,882.68","3,592.88","","4.39%"
"05/01/1999","3,629.46","3,761.09","3,814.02","3,556.99","","-3.42%"
"04/01/1999","3,757.87","3,559.02","3,776.71","3,523.05","","5.56%"
"03/01/1999","3,559.86","3,484.26","3,662.84","3,378.43","","2.17%"
"02/01/1999","3,484.24","3,547.31","3,623.12","3,272.50","","-1.77%"
"01/01/1999","3,547.15","3,344.63","3,701.18","3,290.58","","6.13%"
"12/01/1998","3,342.32","3,178.63","3,366.33","2,945.82","","5.13%"
"11/01/1998","3,179.09","2,889.29","3,273.34","2,889.29","","10.11%"
"10/01/1998","2,887.11","2,666.75","2,917.86","2,388.42","","8.09%"
"09/01/1998","2,670.97","2,966.59","3,120.65","2,608.72","","-10.31%"
"08/01/1998","2,978.12","3,477.24","3,477.24","2,901.13","","-14.44%"
"07/01/1998","3,480.63","3,414.44","3,682.82","3,409.17","","2.17%"
"06/01/1998","3,406.82","3,331.00","3,463.66","3,213.74","","1.46%"
"05/01/1998","3,357.77","3,244.55","3,488.34","3,212.34","","7.59%"
